OBJECTID,GEO_ID_TRT,FEATURE_ID,TRACT_LBL,LOGRECNO,ESL_Score,Income_Score,RE_Score,TotalScore,WeightedTotal333333,Population,NumberofESL,PercentESL,MedianHouseholdIncome,NumberofPOC,PercentPOC,Shape_Length,Shape_Area
287,53033029602,45802,Tract 029602,4928,3,2,2,7,2.33333333,6298,778,12.35312798,114668,2222,35.2810416,42384.8345921346,71707216.0087868
288,53033029408,44771,Tract 029408,4923,4,5,5,14,4.66666667,4109,940,22.87661231,47933,2670,64.9793137,20393.0538279409,13371353.032149
289,53033029502,44998,Tract 029502,4924,3,4,4,11,3.66666667,7671,1169,15.23921262,78621,3997,52.10533177,29415.6653594693,46784745.0209577
290,53033029700,45801,Tract 029700,4929,4,5,3,12,4,8051,1504,18.6809092,50611,3047,37.84623028,62200.9257457971,122568381.367378
291,53033029801,45023,Tract 029801,4930,3,4,4,11,3.66666667,9466,1094,11.55715191,60339,4718,49.84153814,49540.2389997706,86051088.8737861
292,53033029802,44228,Tract 029802,4931,2,3,3,8,2.66666667,9297,631,6.78713564,87574,4229,45.48779176,41233.6425560632,75691289.0843243
293,53033029901,33084,Tract 029901,4932,3,4,2,9,3,4610,527,11.43167028,82188,1541,33.42733189,27048.6621538314,43765194.7585901
294,53033029902,43644,Tract 029902,4933,2,3,3,8,2.66666667,4092,375,9.16422287,86286,1530,37.39002933,41101.1275035623,67829644.1204964
295,53033030003,45028,Tract 030003,4934,3,4,4,11,3.66666667,6295,631,10.02382844,70783,3114,49.46783161,40869.141276324,48997377.5100907
296,53033030004,45298,Tract 030004,4935,4,5,5,14,4.66666667,8302,1489,17.93543724,46425,5714,68.82678873,18776.3958708044,21939705.2167096
297,53033030005,44873,Tract 030005,4936,3,5,5,13,4.33333333,5632,832,14.77272727,54330,3926,69.70880682,20698.7821345781,23404692.5528328
298,53033030006,44504,Tract 030006,4937,5,5,5,15,5,4109,1230,29.93429058,38875,2772,67.46166951,18727.1948035315,23128554.1974268
299,53033030304,45302,Tract 030304,4941,2,4,3,9,3,3644,347,9.52250274,83250,1694,46.48737651,44291.6483147298,79594564.6341006
300,53033030305,45804,Tract 030305,4942,2,4,3,9,3,5250,414,7.88571429,65781,2062,39.27619048,31185.1748334355,41046515.864765
301,53033030100,45027,Tract 030100,4938,2,3,2,7,2.33333333,7934,593,7.47416184,88750,2426,30.57726241,44584.755772175,62661813.2297293
302,53033030201,44451,Tract 030201,4939,3,4,4,11,3.66666667,5676,610,10.74700493,63009,2732,48.13248767,22818.0639881899,30911151.9124019
303,53033030202,44233,Tract 030202,4940,2,5,4,11,3.66666667,6625,477,7.2,55140,3333,50.30943396,25918.3084361749,35222157.6929703
304,53033030504,45765,Tract 030504,4956,3,5,3,11,3.66666667,4396,462,10.50955414,56080,1604,36.48771611,19016.1189725148,16868772.3514445
305,53033030600,45194,Tract 030600,4957,2,4,3,9,3,5874,333,5.66905005,60993,2665,45.36942458,37717.5759453654,37129795.8026312
